turma;curso_prefixo;disciplina;turno;dia_semana;sala;professor;vagas;alunos
RD5M26/2;RD;Projeto Integrador I;MANHA;SAB;ONLINE;MARCIO POHLMANN;20;13
RD3N26/2;RD;Fundamentos de DevOps;NOITE;TER;ONLINE;ERIK ROSA FILIPPINI;40;34
RD1N26/2;RD;Introdução à Cibersegurança;NOITE;SEG;ONLINE;RUI GUREGHIAN SCARINCI;30;35
RD6M26/2;RD;Projeto Integrador II;MANHA;SAB;ONLINE;MARCIO POHLMANN;20;7
ADS6N26/2A;ADS;Projeto de Desenvolvimento II;NOITE;SEX;ONLINE;JULIO CARNEVALE DE ALMEIDA;15;10
PM5N26/2;PM;Novas Mídias;NOITE;QUA;ONLINE;INSTRUTOR A DEFINIR;40;11
RD5N26/2;RD;Análise de Tráfego de Redes;NOITE;TER;ONLINE;MARCIO POHLMANN;30;15
MK5N26/2C;MK;Tópicos Especiais em Marketing;NOITE;QUI;ONLINE;CLAUDIA CECILIA SERAFINI MALLMANN;30;7
SEG1M26/2;SEG;Introdução à Cibersegurança;MANHA;SEG;ONLINE;ALEX SANDRE PINHEIRO SEVERO;30;11
SEG2M26/2;SEG;Introdução a Criptografia;MANHA;SAB;ONLINE;ALEX SANDRE PINHEIRO SEVERO;30;19
RD2N26/2;RD;Arquitetura de Redes e Switching;NOITE;SEG;ONLINE;THIAGO COSTA NARDON;30;12
